Name,Lat,Long,Source,Destination
Madeira,32.575,-16.915,,X
Mare-Harbor,-51.943,-58.385,,X
Stanley,-51.656,-57.681,,X
Ny-Ålesund,79.034,11.243,,X
Harwich,51.923,1.358,,X
Rosyth,56.143,-2.532,,X
